ad_name,ad_group,creative_version,creatives,headline,description,cta,primary_text,link
A1_prove-it-v3,A1_prove-it,Designer set 1 static,S1_prove-it_v3_1x1.jpg | S1_prove-it_v3_4x5.jpg | S1_prove-it_v3_9x16.jpg | S1_prove-it_v3_16x9.jpg,Make Collectors Prove Before You Pay,Free case review. Flat monthly fee.,Book Now,"Getting collection calls about a debt you're not sure you owe?

Before you pay a cent, you can make the collector validate the debt in writing. Many collectors, especially debt buyers, can't produce the paperwork to back it up.

Our attorneys review what they send and tell you where you stand.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/debt-harassment-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A1_prove-it-v3
A1_prove-it-light,A1_prove-it,Set 1 light-style static,S1_prove-it-light_1x1.jpg | S1_prove-it-light_1_91x1.jpg,Make Collectors Prove Before You Pay,Free case review. Flat monthly fee.,Book Now,"Getting collection calls about a debt you're not sure you owe?

Before you pay a cent, you can make the collector validate the debt in writing. Many collectors, especially debt buyers, can't produce the paperwork to back it up.

Our attorneys review what they send and tell you where you stand.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/debt-harassment-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A1_prove-it-light
A1_prove-it-v4,A1_prove-it,Designer set 2 static,S1_prove-it_v4_1x1.jpg | S1_prove-it_v4_4x5.jpg | S1_prove-it_v4_9x16.jpg | S1_prove-it_v4_16x9.jpg,Make Collectors Prove Before You Pay,Free case review. Flat monthly fee.,Book Now,"Getting collection calls about a debt you're not sure you owe?

Before you pay a cent, you can make the collector validate the debt in writing. Many collectors, especially debt buyers, can't produce the paperwork to back it up.

Our attorneys review what they send and tell you where you stand.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/debt-harassment-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A1_prove-it-v4
A1_prove-it-video,A1_prove-it,Video,V1_prove-it_9x16.mp4 | V1_prove-it_4x5.mp4,Make Collectors Prove Before You Pay,Free case review. Flat monthly fee.,Book Now,"Getting collection calls about a debt you're not sure you owe?

Before you pay a cent, you can make the collector validate the debt in writing. Many collectors, especially debt buyers, can't produce the paperwork to back it up.

Our attorneys review what they send and tell you where you stand.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/debt-harassment-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A1_prove-it-video
A2_is-it-yours-v3,A2_is-it-yours,Designer set 1 static,S2_is-it-yours_v3_1x1.jpg | S2_is-it-yours_v3_4x5.jpg | S2_is-it-yours_v3_9x16.jpg | S2_is-it-yours_v3_16x9.jpg,"See If They Can Even Prove It, Free",Attorneys licensed in New York.,Book Now,"A collection letter shows up. You can demand proof in writing before you pay.

Debt buyers often can't produce the original contract or the account history that proves they even own it. Our attorneys make them show it.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/debt-harassment-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A2_is-it-yours-v3
A2_is-it-yours-light,A2_is-it-yours,Set 1 light-style static,S2_is-it-yours_light_1x1.jpg | S2_is-it-yours_light_4x5.jpg | S2_is-it-yours_light_9x16.jpg | S2_is-it-yours_light_16x9.jpg,"See If They Can Even Prove It, Free",Attorneys licensed in New York.,Book Now,"A collection letter shows up. You can demand proof in writing before you pay.

Debt buyers often can't produce the original contract or the account history that proves they even own it. Our attorneys make them show it.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/debt-harassment-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A2_is-it-yours-light
A2_is-it-yours-v4,A2_is-it-yours,Designer set 2 static,S2_is-it-yours_v4_1x1.jpg | S2_is-it-yours_v4_4x5.jpg | S2_is-it-yours_v4_9x16.jpg | S2_is-it-yours_v4_16x9.jpg,"See If They Can Even Prove It, Free",Attorneys licensed in New York.,Book Now,"A collection letter shows up. You can demand proof in writing before you pay.

Debt buyers often can't produce the original contract or the account history that proves they even own it. Our attorneys make them show it.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/debt-harassment-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A2_is-it-yours-v4
A2_is-it-yours-video,A2_is-it-yours,Video,V2_is-it-yours_9x16.mp4 | V2_is-it-yours_4x5.mp4,"See If They Can Even Prove It, Free",Attorneys licensed in New York.,Book Now,"A collection letter shows up. You can demand proof in writing before you pay.

Debt buyers often can't produce the original contract or the account history that proves they even own it. Our attorneys make them show it.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/debt-harassment-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A2_is-it-yours-video
A3_three-things-v3,A3_three-things,Designer set 1 static,S4_quiz_v3_1x1.jpg | S4_quiz_v3_4x5.jpg | S4_quiz_v3_9x16.jpg | S4_quiz_v3_16x9.jpg,"Know Your Options, Free",Free case review. No cost to learn where you stand.,Book Now,"Three things collectors hope you don't know:

1. You can make them validate the debt in writing
2. Debt buyers often can't prove they even own it
3. Balances are frequently inflated, so you may owe far less than they claim

Knowing this changes how you respond.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/debt-harassment-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A3_three-things-v3
A3_three-things-light,A3_three-things,Set 1 light-style static,S4_quiz_light_1x1.jpg | S4_quiz_light_4x5.jpg | S4_quiz_light_9x16.jpg | S4_quiz_light_16x9.jpg,"Know Your Options, Free",Free case review. No cost to learn where you stand.,Book Now,"Three things collectors hope you don't know:

1. You can make them validate the debt in writing
2. Debt buyers often can't prove they even own it
3. Balances are frequently inflated, so you may owe far less than they claim

Knowing this changes how you respond.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/debt-harassment-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A3_three-things-light
