campaign,ad_set,ad_name,creative_version,format,primary_text,headline,description,cta,website_url,url_parameters,creative_feeds_4x5,creative_stories_reels,creative_right_column_1x1,meta_tracking_number_on_lp
Credo Legal — Competitive v1 (Meta),AS_A1_prove-it,A1_prove-it-v3,Designer set 1,Single image,"Getting collection calls about a debt you're not sure you owe?

Before you pay a cent, you can make the collector validate the debt in writing. Many collectors, especially debt buyers, can't produce the paperwork to back it up.

Our attorneys review what they send and tell you where you stand.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",Make Collectors Prove Before You Pay,Free case review. Flat monthly fee.,Book Now,https://start.credolegal.com/debt-harassment-stop-calls,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A1_prove-it-v3,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S1_prove-it_v3_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S1_prove-it_v3_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S1_prove-it_v3_1x1.jpg,(612) 256-8820
Credo Legal — Competitive v1 (Meta),AS_A1_prove-it,A1_prove-it-light,Light style,Single image,"Getting collection calls about a debt you're not sure you owe?

Before you pay a cent, you can make the collector validate the debt in writing. Many collectors, especially debt buyers, can't produce the paperwork to back it up.

Our attorneys review what they send and tell you where you stand.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",Make Collectors Prove Before You Pay,Free case review. Flat monthly fee.,Book Now,https://start.credolegal.com/debt-harassment-stop-calls,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A1_prove-it-light,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S1_prove-it_light_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S1_prove-it_light_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S1_prove-it_light_1x1.jpg,(612) 256-8820
Credo Legal — Competitive v1 (Meta),AS_A1_prove-it,A1_prove-it-v4,Designer set 2,Single image,"Getting collection calls about a debt you're not sure you owe?

Before you pay a cent, you can make the collector validate the debt in writing. Many collectors, especially debt buyers, can't produce the paperwork to back it up.

Our attorneys review what they send and tell you where you stand.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",Make Collectors Prove Before You Pay,Free case review. Flat monthly fee.,Book Now,https://start.credolegal.com/debt-harassment-stop-calls,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A1_prove-it-v4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S1_prove-it_v4_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S1_prove-it_v4_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S1_prove-it_v4_1x1.jpg,(612) 256-8820
Credo Legal — Competitive v1 (Meta),AS_A1_prove-it,A1_prove-it-video,Video,Video,"Getting collection calls about a debt you're not sure you owe?

Before you pay a cent, you can make the collector validate the debt in writing. Many collectors, especially debt buyers, can't produce the paperwork to back it up.

Our attorneys review what they send and tell you where you stand.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",Make Collectors Prove Before You Pay,Free case review. Flat monthly fee.,Book Now,https://start.credolegal.com/debt-harassment-stop-calls,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A1_prove-it-video,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V1_prove-it_4x5.mp4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V1_prove-it_4x5.mp4,,(612) 256-8820
Credo Legal — Competitive v1 (Meta),AS_A2_is-it-yours,A2_is-it-yours-v3,Designer set 1,Single image,"A collection letter shows up. You can demand proof in writing before you pay.

Debt buyers often can't produce the original contract or the account history that proves they even own it. Our attorneys make them show it.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.","See If They Can Even Prove It, Free",Attorneys licensed in New York.,Book Now,https://start.credolegal.com/debt-harassment-stop-calls,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A2_is-it-yours-v3,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S2_is-it-yours_v3_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S2_is-it-yours_v3_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S2_is-it-yours_v3_1x1.jpg,(612) 256-8820
Credo Legal — Competitive v1 (Meta),AS_A2_is-it-yours,A2_is-it-yours-light,Light style,Single image,"A collection letter shows up. You can demand proof in writing before you pay.

Debt buyers often can't produce the original contract or the account history that proves they even own it. Our attorneys make them show it.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.","See If They Can Even Prove It, Free",Attorneys licensed in New York.,Book Now,https://start.credolegal.com/debt-harassment-stop-calls,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A2_is-it-yours-light,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S2_is-it-yours_light_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S2_is-it-yours_light_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S2_is-it-yours_light_1x1.jpg,(612) 256-8820
Credo Legal — Competitive v1 (Meta),AS_A2_is-it-yours,A2_is-it-yours-v4,Designer set 2,Single image,"A collection letter shows up. You can demand proof in writing before you pay.

Debt buyers often can't produce the original contract or the account history that proves they even own it. Our attorneys make them show it.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.","See If They Can Even Prove It, Free",Attorneys licensed in New York.,Book Now,https://start.credolegal.com/debt-harassment-stop-calls,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A2_is-it-yours-v4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S2_is-it-yours_v4_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S2_is-it-yours_v4_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S2_is-it-yours_v4_1x1.jpg,(612) 256-8820
Credo Legal — Competitive v1 (Meta),AS_A2_is-it-yours,A2_is-it-yours-video,Video,Video,"A collection letter shows up. You can demand proof in writing before you pay.

Debt buyers often can't produce the original contract or the account history that proves they even own it. Our attorneys make them show it.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.","See If They Can Even Prove It, Free",Attorneys licensed in New York.,Book Now,https://start.credolegal.com/debt-harassment-stop-calls,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A2_is-it-yours-video,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V2_is-it-yours_4x5.mp4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V2_is-it-yours_4x5.mp4,,(612) 256-8820
Credo Legal — Competitive v1 (Meta),AS_A3_three-things,A3_three-things-v3,Designer set 1,Single image,"Three things collectors hope you don't know:

1. You can make them validate the debt in writing
2. Debt buyers often can't prove they even own it
3. Balances are frequently inflated, so you may owe far less than they claim

Knowing this changes how you respond.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.","Know Your Options, Free",Free case review. No cost to learn where you stand.,Book Now,https://start.credolegal.com/debt-harassment-stop-calls,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A3_three-things-v3,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S4_quiz_v3_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S4_quiz_v3_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S4_quiz_v3_1x1.jpg,(612) 256-8820
Credo Legal — Competitive v1 (Meta),AS_A3_three-things,A3_three-things-light,Light style,Single image,"Three things collectors hope you don't know:

1. You can make them validate the debt in writing
2. Debt buyers often can't prove they even own it
3. Balances are frequently inflated, so you may owe far less than they claim

Knowing this changes how you respond.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.","Know Your Options, Free",Free case review. No cost to learn where you stand.,Book Now,https://start.credolegal.com/debt-harassment-stop-calls,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A3_three-things-light,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S4_quiz_light_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S4_quiz_light_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S4_quiz_light_1x1.jpg,(612) 256-8820
